Name;Preis;Einheit;Gruppe
Rüben;2,00;kg;Rüben
Knoblauch;10,00;kg;
ZuckerSchote;15,00;kg;
Schwarzkohl;15,00;kg;Kohl
Mairübe;3,80;kg;
Frisch Zwiebeln;4,20;kg;<3
Kopfsalat;2,20;stk;Salat
rohnen;2,69;kg;
Fisolen;7,89;kg;<3
Gurken;4,40;kg;<3
Lauch;4,68;kg;
Stangensellerie;7,48;kg;
Radieschen;1,69;kg;
Jalapeños;13,00;kg;<3
Knollensellerie;3,25;kg;
Karfiol;5,00;kg;Kohl
Rotkraut;3,55;kg;
Schwarzer Rettich;1,80;kg;
Melanzani;3,50;kg;
Paprika;4,80;kg;
Zwiebel;4,20;kg;
Mangold;3,00;kg;Salat
Rettich;4,00;kg;
Bänder;1,00;stk;
Kartoffel;3,00;kg;<3
Steckzwiebl;12,54;kg;
Kürbis;3,50;stk;<3
Pastinake;6,23;kg;
Zucchini;2,89;kg;<3
Tomaten;1,50;kg;Salat
Kohlrabi;5,00;kg;Rüben
Zuckerhut;2,05;stk;Salat
Zucchini;2,89;kg;<3
Karotten;3,20;kg;Rüben
Zwiebel;4,20;kg;<3
